TRUE_PROBABILITY,EVAL_QUBITS,TRIAL,QAE_ERROR,MC_ERROR,ORACLE_CALLS
0.05,9,0,0.0009321882064030479,0.0017221135029354268,51100
0.05,9,1,0.0005129470895005317,0.001682974559686884,51100
0.05,9,2,8.446383201224372e-05,0.0001956947162426656,51100
0.05,9,3,0.0014248417970792113,0.0004892367906066536,51100
0.05,9,4,0.00017550426585891815,0.0011350293542074369,51100
0.05,9,5,0.001388254682519123,0.0020156555772994147,51100
0.05,9,6,0.0003085398521044183,0.0001565557729941297,51100
0.05,9,7,0.00048827154736649087,0.00021526418786693008,51100
0.05,9,8,0.0011913670182846642,0.0004696673189823891,51100
0.05,9,9,5.5364095241379474e-05,0.0018395303326810136,51100
0.05,11,0,7.946008080045308e-06,0.0008842208109428457,204700
0.05,11,1,7.946008080052247e-06,0.0008549096238397655,204700
0.05,11,2,7.903651618325347e-06,9.77039570102603e-05,204700
0.05,11,3,7.946008080059186e-06,0.0002442598925256473,204700
0.05,11,4,7.946008080045308e-06,0.0005276013678553945,204700
0.05,11,5,7.946008080059186e-06,0.0002442598925256473,204700
0.05,11,6,7.946008080073064e-06,8.304836345872368e-05,204700
0.05,11,7,7.946008080045308e-06,0.00011235955056180386,204700
0.05,11,8,7.946008080045308e-06,0.000254030288226674,204700
0.05,11,9,7.946008080059186e-06,0.0008988764044943823,204700
0.05,13,0,7.946008080052247e-06,0.00044561103650347933,819100
0.05,13,1,2.9169795636441176e-06,0.0004297399584910211,819100
0.05,13,2,7.946008080045308e-06,5.0054938346970335e-05,819100
0.05,13,3,2.452839047181049e-05,0.00012086436332559708,819100
0.05,13,4,7.946008080045308e-06,0.0002575998046636524,819100
0.05,13,5,7.946008080059186e-06,0.00012086436332559708,819100
0.05,13,6,6.27319363637191e-06,4.2729825418141854e-05,819100
0.05,13,7,4.597732895961215e-06,5.860090343060009e-05,819100
0.05,13,8,4.600379192691573e-06,0.00012941032840923378,819100
0.05,13,9,1.4610783229361546e-05,5.982175558539443e-05,819100
0.05,15,0,1.3790434734442525e-05,0.00022370067445906527,3276700
0.05,15,1,1.5041487309158663e-05,0.0002157658619952943,3276700
0.05,15,2,1.0447286859158189e-05,2.5330362865082223e-05,3276700
0.05,15,3,5.8539144677099975e-06,6.073183385723463e-05,3276700
0.05,15,4,1.673367469381959e-06,0.00012817773979918734,3276700
0.05,15,5,1.044844625743696e-05,6.012146366771165e-05,3276700
0.05,15,6,1.211513719091839e-05,2.1668141727958223e-05,3276700
0.05,15,7,4.08585081122792e-07,2.9602954191722264e-05,3276700
0.05,15,8,8.777947861818292e-06,6.500442518387467e-05,3276700
0.05,15,9,9.608398241940652e-06,3.0213324381231366e-05,3276700
0.05,17,0,8.299916637449778e-07,0.00011215295526852131,13107100
0.05,17,1,8.300330219881968e-07,0.00010803305078926212,13107100
0.05,17,2,4.380890592833864e-06,1.2664891547331525e-05,13107100
0.05,17,3,2.3970713034782154e-06,3.0365221902632633e-05,13107100
0.05,17,4,2.920565113376239e-06,6.38585194283961e-05,13107100
0.05,17,5,7.360745023152204e-07,3.0136338320448097e-05,13107100
0.05,17,6,4.27846028949741e-06,1.0833822889889932e-05,13107100
0.05,17,7,1.4574626352806264e-06,1.487743284174503e-05,13107100
0.05,17,8,5.95283571559746e-06,3.26540577244433e-05,13107100
0.05,17,9,2.7126109527625397e-06,1.5106316423922628e-05,13107100
0.05,19,0,1.10603334255166e-07,5.615245085230369e-05,52428700
0.05,19,1,1.10603334255166e-07,5.409251039983215e-05,52428700
0.05,19,2,8.448402583072223e-08,6.33240953905323e-06,52428700
0.05,19,3,1.3672199637715376e-07,1.518252407554932e-05,52428700
0.05,19,4,1.3672199637021487e-07,3.191000349045403e-05,52428700
0.05,19,5,1.10603334255166e-07,1.5068082939301286e-05,52428700
0.05,19,6,1.3672199637715376e-07,5.455027494487286e-06,52428700
0.05,19,7,1.10603334255166e-07,7.438673856115241e-06,52428700
0.05,19,8,1.6284001218974664e-07,1.6365082483454918e-05,52428700
0.05,19,9,1.10603334255166e-07,7.572188515068967e-06,52428700
